asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
AAPL,macro_fed_funds_change_5d,20,-0.014979088861941455,0.4868564935338477,-0.05047837374179384,0.019051140345026637,2157,0.0071428571428571504,0.007936507936507908,10,6,0.8860788182316027,0.6,REMOVE,64.0
AAPL,macro_us10y_change_1d,20,0.021630340843042165,0.314869946598078,0.0022906383681920318,0.915247205005972,2161,0.010317460317460319,0.015873015873015844,10,6,0.7600309055815675,0.6,REMOVE,64.0
AAPL,macro_us10y_change_5d,5,-0.013717240801148957,0.5228553129884436,-0.019360903394379972,0.36712348411418644,2172,0.015873015873015865,0.015873015873015844,10,6,0.8912772413455892,0.6,REMOVE,64.0
AAPL,macro_unemployment_change,3,0.025500532691914855,0.24277636213270537,0.020924190859151707,0.33786064461608384,2100,0.005555555555555558,0.007936507936507908,10,6,0.7472016676338081,0.6,REMOVE,64.0
AAPL,macro_us10y_change_1d,0,0.005663352275850842,0.7915212413666772,0.02172163117595118,0.3106000114892571,2181,0.001587301587301576,0.007936507936507908,10,7,0.9452550257791027,0.7,REMOVE,40.5
AAPL,macro_us10y_change_5d,10,-0.006981073953870129,0.7453379292269944,-0.0191723694230279,0.3723602883067787,2167,0.0007936507936507908,0.007936507936507908,10,6,0.9414827798563781,0.6,REMOVE,39.0
AAPL,macro_us10y_change_1d,10,0.0012045362555007453,0.955268637608899,0.0017864570208710512,0.933700233501091,2171,0.0031746031746031633,0.003968253968253954,10,5,0.9778340384972982,0.5,REMOVE,37.5
AAPL,macro_us2y_change_1d,10,0.008403872539480762,0.6955375420636214,0.00945425610870026,0.6597432593530794,2171,0.003174603174603169,0.003968253968253954,10,5,0.9279646081319954,0.5,REMOVE,37.5
AAPL,macro_us2y_change_5d,10,-0.013092740421830723,0.5424215568882372,-0.03206974128399074,0.1355936545955101,2167,0.0031746031746031854,0.003968253968253954,10,5,0.8974038963855314,0.5,REMOVE,37.5
AAPL,macro_financial_conditions_change_5d,1,0.002013179142907416,0.9257570554567309,0.009990989688386881,0.6437472085254543,2145,0.0015873015873015873,0.003968253968253954,10,5,0.9653075012692802,0.5,REMOVE,37.5
AAPL,macro_financial_conditions_change_5d,2,0.004634392871423178,0.8301853058399346,0.002875040755579138,0.8941564859883152,2144,0.0015873015873015817,0.003968253968253954,10,5,0.9515794536290559,0.5,REMOVE,37.5
AAPL,macro_financial_conditions_change_5d,20,0.009333424170088105,0.6671177433185354,-0.0151242196028412,0.4858116584436475,2126,0.003174603174603169,0.007936507936507908,10,5,0.9234012715298451,0.5,REMOVE,37.5
AAPL,macro_yield_curve_change_5d,3,-0.018591630782679815,0.3862527986898258,-0.027939958255404806,0.19283493702333027,2174,0.002380952380952367,0.003968253968253954,10,5,0.8136343676105128,0.5,REMOVE,37.5
AAPL,macro_yield_curve_change_5d,20,7.847341952242105e-05,0.9970937368552043,0.001325088598347639,0.9509561370152507,2157,0.0031746031746031854,0.003968253968253954,10,5,0.9984406980435698,0.5,REMOVE,37.5
AAPL,macro_us2y_change_1d,5,-0.013447026227022697,0.5306988165637329,-0.016237519696618852,0.449016163271609,2176,-5.551115123125783e-18,0.007936507936507908,10,6,0.896055062118379,0.6,REMOVE,9.0
AAPL,macro_us10y_change_5d,20,0.019883469110843977,0.35599984383348704,0.02013312285607891,0.3499915492865129,2157,-0.003968253968253965,0.003968253968253954,10,5,0.7946530151804644,0.5,REMOVE,7.5
AAPL,macro_us2y_change_5d,1,-0.022390854635768363,0.2964804440552959,-0.022588093761939744,0.2922449270179339,2176,-0.00634920634920636,0.0,10,5,0.7472016676338081,0.5,REMOVE,7.5
AAPL,macro_yield_curve_change_5d,2,0.002607452706408898,0.9032682447404436,-0.010673728957337581,0.6188241024107372,2175,-0.0007936507936507853,0.003968253968253954,10,5,0.9611946121890618,0.5,REMOVE,7.5
AAPL,macro_us10y_change_1d,2,-0.03157678841081389,0.1406112673812334,-0.04256292829857046,0.046968132172309274,2179,-0.006349206349206349,-0.007936507936507936,10,4,0.7433862032586501,0.4,REMOVE,6.0
AAPL,macro_us10y_change_1d,3,0.02322987934546096,0.27852435879715026,0.03469026694569055,0.10555070003844672,2178,0.0015873015873015873,-0.003968253968253954,10,4,0.7472016676338081,0.4,REMOVE,6.0
AAPL,macro_us10y_change_1d,5,-0.009904596803483249,0.644245072042062,-0.006584302932590979,0.7588670652167352,2176,-0.007936507936507941,-0.003968253968253954,10,4,0.9226874430173962,0.4,REMOVE,6.0
AAPL,macro_us10y_change_5d,1,-0.01851274321797868,0.3880533092387592,-0.018845143984751383,0.3795889472118754,2176,-0.0007936507936507853,0.0,10,4,0.8155392873147134,0.4,REMOVE,6.0
AAPL,macro_us2y_change_1d,0,0.012897100737910009,0.5471811034724535,0.025718408133207797,0.22991029567966928,2181,-0.007142857142857134,-0.003968253968253954,10,4,0.8974038963855314,0.4,REMOVE,6.0
AAPL,macro_us2y_change_1d,3,0.03287742216142583,0.12505627421971147,0.04302770244812742,0.044660405551380615,2178,-0.00317460317460318,0.0,10,4,0.7248484684072448,0.4,REMOVE,6.0
AAPL,macro_us2y_change_5d,5,-0.0029438722572176224,0.8909362110408918,-0.006457828121979941,0.7635706997925291,2172,0.0031746031746031746,0.0,10,4,0.9611946121890618,0.4,REMOVE,6.0
AAPL,macro_us2y_change_5d,20,0.019347338888655648,0.36912072278836633,0.007796620949115358,0.7174281967358367,2157,-0.008730158730158744,0.0,10,4,0.7997615660414603,0.4,REMOVE,6.0
AAPL,macro_financial_conditions_change_5d,0,-0.0018827281200832768,0.9305391454343201,0.0028196951457629565,0.896134177298671,2146,0.0007936507936507908,0.0,10,4,0.9653075012692802,0.4,REMOVE,6.0
AAPL,macro_financial_conditions_change_5d,3,0.0003206081481385511,0.9881653253039154,0.002929076745963233,0.8922042279963293,2143,0.0015873015873015817,0.0,10,4,0.9984406980435698,0.4,REMOVE,6.0
AAPL,macro_unemployment_level,20,0.009960203174994612,0.6472507172289054,0.0062175412287893425,0.7751556112798734,2113,0.0015873015873016038,0.0,10,4,0.9234012715298451,0.4,REMOVE,6.0
AAPL,macro_unemployment_change,0,0.022717595197247673,0.2977320145896146,0.012905690515492263,0.5541800432934129,2103,-0.0023809523809523838,-0.003968253968253954,10,4,0.7472016676338081,0.4,REMOVE,6.0
AAPL,macro_yield_curve_change_5d,5,-0.015983947357152303,0.45654613804349037,-0.0071981268558450615,0.7374154472287271,2172,0.0007936507936507853,0.0,10,4,0.865763609833163,0.4,REMOVE,6.0
AAPL,macro_yield_curve_change_5d,10,0.00962621244710458,0.6542527279084255,0.0033081793969832155,0.8776800834497762,2167,-0.012698412698412698,-0.007936507936507936,10,4,0.9234012715298451,0.4,REMOVE,6.0
AAPL,macro_cpi_yoy,3,-0.027376666530465867,0.23569151481320452,-0.018405944833733583,0.4253496410857694,1878,-0.008928571428571438,-0.011904761904761918,8,3,0.7472016676338081,0.375,REMOVE,5.62
AAPL,macro_fed_funds_change_5d,2,-0.008477438081987662,0.6927386752766312,0.017962027179528682,0.40243566899074856,2175,-0.003968253968253959,-0.003968253968253954,10,3,0.9269059490518947,0.3,REMOVE,4.5
AAPL,macro_fed_funds_change_5d,5,0.024070622777685076,0.262151108236292,0.01242165417156904,0.5628612698927331,2172,-1.1102230246251566e-17,0.0,10,3,0.7472016676338081,0.3,REMOVE,4.5
AAPL,macro_fed_funds_change_5d,10,0.0036573923249691043,0.8648860566971106,0.03105993742813597,0.14834919200939997,2167,-5.551115123125783e-18,0.0,10,3,0.9546319585740316,0.3,REMOVE,4.5
AAPL,macro_us10y_change_1d,1,0.00916516590155005,0.6688772306485179,0.01377612869758443,0.5203048769479988,2180,-0.005555555555555558,0.0,10,3,0.9234012715298451,0.3,REMOVE,4.5
AAPL,macro_us10y_change_5d,2,-0.003227579945225803,0.8804189297440699,-0.005147824204524637,0.8103751310578533,2175,-0.004761904761904756,-0.003968253968253954,10,3,0.9611946121890618,0.3,REMOVE,4.5
AAPL,macro_us10y_change_5d,3,-0.009647174015457949,0.6530258857901898,-0.018304570668319278,0.3936300880886798,2174,-0.00317460317460318,0.0,10,3,0.9234012715298451,0.3,REMOVE,4.5
AAPL,macro_us2y_change_1d,1,0.001300526334814926,0.9516081787273194,0.005349410681142824,0.8028773378250231,2180,-0.007936507936507936,0.0,10,3,0.9778340384972982,0.3,REMOVE,4.5
AAPL,macro_us2y_change_1d,2,-0.04325980934429351,0.043472253786454,-0.04282665270012538,0.045618326828165745,2179,-0.002380952380952389,0.0,10,3,0.5687747653727561,0.3,REMOVE,4.5
AAPL,macro_us2y_change_1d,20,0.033149083372941306,0.12343401269494414,0.019177188442332748,0.3729036338803841,2161,0.004761904761904756,0.0,10,3,0.7200317407205075,0.3,REMOVE,4.5
AAPL,macro_us2y_change_5d,0,-0.009715270299275705,0.6505137041941448,-0.015672779102820857,0.46484595627572306,2177,-0.007936507936507941,-0.003968253968253954,10,3,0.9234012715298451,0.3,REMOVE,4.5
