asset,feature,lag,pearson_r,pearson_p,spearman_r,spearman_p,n,oos_delta_accuracy,oos_median_delta,oos_folds,oos_positive_folds,pearson_q,oos_positive_rate,status,evidence_score
AAPL,gold_return_5d,10,0.022403808872049694,0.2975381848554662,0.025304319506747518,0.23934114876325302,2164,0.018253968253968255,0.023809523809523808,10,8,0.9914592642313097,0.8,REMOVE,56.0
AAPL,silver_return_5d,10,0.022251112704818273,0.30084389564840497,0.024111957754586324,0.26221355976638966,2164,0.01587301587301586,0.015873015873015844,10,8,0.9914592642313097,0.8,REMOVE,56.0
AAPL,dxy_return_5d,20,0.047077434353218116,0.02886163380124643,0.04527713867243547,0.03557845557661234,2155,0.021428571428571436,0.01190476190476189,10,7,0.9914592642313097,0.7,REMOVE,54.0
AAPL,sp500_return_1d,20,0.06271649409450375,0.003553388744716514,0.05230869652487689,0.01506626415654658,2159,0.018253968253968265,0.019841269841269882,10,7,0.5853697546265223,0.7,REMOVE,54.0
AAPL,us10y_return_1d,10,-0.006286977322051228,0.7698015340686021,-0.010778089728620453,0.6158869679620762,2169,0.015873015873015865,0.011904761904761862,10,7,0.9914592642313097,0.7,REMOVE,54.0
AAPL,silver_return_1d,5,-0.03754108868247432,0.08018659039877371,-0.04276338004185403,0.046239673941354364,2173,0.014285714285714296,0.007936507936507908,10,7,0.9914592642313097,0.7,REMOVE,54.0
AAPL,gold_return_1d,10,-0.00044956197789237115,0.9833092028691187,0.019025283447308652,0.37592991329375924,2168,0.004761904761904745,0.007936507936507908,10,6,0.995142207056072,0.6,REMOVE,52.0
AAPL,gold_return_1d,60,0.024347370176891172,0.2627083361606606,0.01849306427254467,0.3949620296893165,2118,0.004761904761904745,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,oil_return_1d,3,-0.02693158411987429,0.2091884652993821,-0.0179661734402816,0.4022187695446225,2176,0.003968253968253977,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,oil_return_1d,5,0.014717750753542544,0.492792021349893,0.013805829532865403,0.5199818154676396,2174,0.010317460317460309,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,oil_return_5d,60,0.04221451262767425,0.052242966529079664,0.037552909321949976,0.08423707826133944,2115,0.016666666666666656,0.019841269841269854,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,dxy_return_1d,60,-0.008177576840417412,0.7067538901007822,-0.01339048718687991,0.5378530677294664,2119,0.002380952380952389,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,sp500_return_5d,2,-0.020590374603519795,0.3373678704108472,-0.03922023356362716,0.06756154870912695,2173,0.010317460317460314,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,nasdaq_return_1d,10,0.0164481455916504,0.44388942736066994,0.007999224090652568,0.7096432504376677,2169,0.010317460317460314,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,nasdaq_return_1d,20,0.06385777683557917,0.0029929042821985447,0.05492658981664801,0.010691753407406121,2159,0.01349206349206349,0.007936507936507908,10,6,0.5853697546265223,0.6,REMOVE,52.0
AAPL,nasdaq_return_5d,5,-0.01510862343860468,0.48177938292397954,-0.021690289381608063,0.31252356442333235,2170,0.003968253968253977,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,nasdaq_return_5d,20,0.0019415686818276393,0.9282242396438032,0.00020490097233011613,0.9924151127386946,2155,0.0047619047619047615,0.007936507936507908,10,6,0.995142207056072,0.6,REMOVE,52.0
AAPL,vix_return_1d,20,-0.05616824668382102,0.009043395466266594,-0.05465467138299176,0.011086535520633978,2159,0.005555555555555564,0.007936507936507908,10,6,0.9091021941357442,0.6,REMOVE,52.0
AAPL,vix_level,10,-0.005463640845576898,0.7992101537850095,-0.014031518533530608,0.5135697243144468,2170,0.0071428571428571504,0.01190476190476189,10,6,0.995142207056072,0.6,REMOVE,52.0
AAPL,silver_return_5d,20,-0.008031590974535664,0.7094867760917608,-0.03701505229099857,0.08588702304360317,2154,0.003968253968253971,0.015873015873015844,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,bitcoin_return_1d,10,0.04102219089922473,0.056049508298861885,0.045109076699929564,0.0356245896019147,2170,0.0047619047619047615,0.007936507936507908,10,6,0.9914592642313097,0.6,REMOVE,52.0
AAPL,gold_return_1d,5,-0.04243814930561527,0.047925754858589,-0.05480331411112426,0.010614772620896355,2173,0.00634920634920636,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,gold_return_5d,60,0.023374549227099084,0.2827186634435918,0.02105295531245099,0.33328771022990944,2114,0.008730158730158727,0.00396825396825401,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,oil_return_1d,0,0.007571266899913517,0.7239181281683319,-0.007931422536353603,0.711359932396048,2179,0.00634920634920636,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,oil_return_5d,0,0.02769725704859052,0.19662767360391606,-0.0126328741285163,0.5559667069858978,2175,0.003968253968253971,0.003968253968253954,10,5,0.9914592642313097,0.5,REMOVE,50.0
AAPL,oil_return_5d,5,0.0036567826975605327,0.864815675854044,-0.0023073677675563664,0.9144534711779425,2170,0.00317460317460318,0.003968253968253954,10,5,0.995142207056072,0.5,REMOVE,50.0
